L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Brand,Product Name,Product Description,Product Quantity,UOM,Net Quantity,Pack Quantity,Pack Size,MRP,Price,Manufacturer,Country Of Origin,UPC/EAN,FSSAI no,Images,Images / Video,Images.3,Images.4,Images.5,Images.6,Images.7,Images.8,SKU Code,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD available (Y/N),Preservatives (Y/N),Preservatives (details),Flavours & Spices,Ready to cook (Y/N),Ready to eat (Y/N),Rice grain type,Recommended Age,Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Benefits,Usage,Other details,Marketed By,Baby Weight,Absorption Duration (in Hrs),Ingredients
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Bon Appetit,"Bon Appetit Krakauer - Chicken Garlic, 300 g Pouch","Bon Appetit Krakauer - Chicken Garlic, 300 g Pouch",300 g Pouch,g,300 g Pouch,1,1,328,328,"Arthur's Food Company Private Limited, NO 14H KIADB Industrial area, Attibele,Bangalore - 562107, Karnataka, India",India,40003081,1.00E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"EAN Code': '40003081, Manufactured & Marketed By': ""Arthur's Food Company Private Limited, NO 14H KIADB Industrial area, Attibele,Bangalore - 562107, Karnataka, India""}, Country of origin': 'India","Arthur's Food Company Private Limited, NO 14H KIADB Industrial area, Attibele,Bangalore - 562107, Karnataka, India",-,-,-
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Bon Appetit,"Bon Appetit Nuremberger - Chicken, 300 g Pouch","Bon Appetit Nuremberger - Chicken, 300 g Pouch",300 g Pouch,g,300 g Pouch,1,1,326,326,"Arthur's Food Company Private Limited, NO 14H KIADB Industrial area, Attibele,Bangalore - 562107, Karnataka, India",India,40003084,1.00E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"EAN Code': '40003084, Manufactured & Marketed By': ""Arthur's Food Company Private Limited, NO 14H KIADB Industrial area, Attibele,Bangalore - 562107, Karnataka, India""}, Country of origin': 'India","Arthur's Food Company Private Limited, NO 14H KIADB Industrial area, Attibele,Bangalore - 562107, Karnataka, India",-,-,-
RET,RET-10,RET-10-15,RET-10-15-13,RET-10-15-13-10,Buffet,"Buffet Smoked Chicken Ham - Ready To Serve, 200 g Pouch","Delicately cured chicken ham slices for quick sandwiches, salads and wholesome meals.
100% chicken, no added artificial flavors and no added preservatives - enjoy ham the way its meant to be.",200 g Pouch,g,200 g Pouch,1,1,345,345,"Cargills Quality Foods No. 40, York Street, Colombo 01, Sri Lanka",India/Sri Lanka,40002872,1.00E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"EAN Code': '40002872, Manufactured & Marketed by': 'Cargills Quality Foods No. 40, York Street, Colombo 01, Sri Lanka, Country of origin': 'India/Sri Lanka","Cargills Quality Foods No. 40, York Street, Colombo 01, Sri Lanka",-,-,"Chicken Meat (69%), Water (27%), Salt (2%), Hydroxypropyl Distarch Phosphate (E1442), Sugar, Disodium diphosphate (E450[i]), Tetrasodium diphosphate (E450[iii], Pentasodium triphosphate (E451[i]), Potassium polyphosphate (E452[ii]), Curing salt (E250), Ascorbic acid (E300)."
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Chicken - Biryani Cut 1 kg + BB Royal Biryani Basmati Rice 1 kg, Combo 2 Items","Fresho Chicken - Biryani Cut 1 kg
Fresho Chicken - Biriyani Cut 1 kg
BB Royal Biryani Basmati Rice - Extra Long 1 kg Pouch
The long grains and aromatic splendor of the BB Royal Biryani Basmati Rice are perfect for cooking various types of Pulao, Fried Rice and especially Biriyani. These extra-long grains will cook up as separate fluffy grains every time and are ideal for your one-pot dishes like biryanis and pulao. It is extra-long rice that is aged to perfection and is delicious in taste.
Benefits:
Basmati is gluten-free and low in fat.
It contains all eight essential amino acids, folic acid, and is very low in sodium and has no cholesterol.
Basmati has a low to the medium glycemic index, which is released at a slower, steadier rate leading to a more balanced level of energy.",Combo 2 Items,Combo Items,Combo 2 Items,2,1,818,531,"Fresho Foods, Survey No. 66/1, Plot No. 101, Piparia Industrial Estate, Piparia, Silvassa, Dadra, Valsad-396230, Gujarat, India",India,1220960,1.00E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"EAN Code': '1220960, Country Of Origin': 'India, Manufactured & Marketed by': ' SUPERMARKET GROCERY SUPPLIES PVT.LTD.NO-7, SERVICE ROAD, DOMLUR, 100FEET ROAD, INDIRANAGAR, BANGALORE, 560071, Marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071, FSSAI Number': '10019043002767, ints, Contact our Customer Care Executive at': 'Phone:1860 123 1000 | :Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore-560016, ","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Chicken - Biryani Cut, 20 To 25 pcs, 1 kg",Fresho Chicken - Biriyani Cut 1 kg,1 kg,kg,1 kg,25,1,623,386,"Fresho Foods, Survey No. 66/1, Plot No. 101, Piparia Industrial Estate, Piparia, Silvassa, Dadra, Valsad-396230, Gujarat, India",India,40081296,1.00E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"EAN Code': '40081296, Country Of Origin': 'India, Manufactured & Marketed by': ' SUPERMARKET GROCERY SUPPLIES PVT.LTD.NO-7, SERVICE ROAD, DOMLUR, 100FEET ROAD, INDIRANAGAR, BANGALORE, 560071, Marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071, FSSAI Number': '10019043002767, ints, Contact our Customer Care Executive at': 'Phone:1860 123 1000 | :Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore-560016, ","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Chicken - Biryani Cut, Soft & Tender, 10 To 12 pcs, 500 g","Fresho Chicken - Biryani Cut is soft and tender ready to cook chicken pieces for that delicious chicken curry or biryani you want to prepare. These chicken pieces delivered are an assortment of the best pieces of chicken. When it comes to consuming food, we are always worried about how safe it is. But more ensures that the chicken pieces delivered are hygienically processed & packed with the required temperature control condition. It passes several quality checks to make the chicken safe to consume. Naturally, reared birds are tender and have extremely tasty meat. Absolute guarantee that no anti-biotic residue remains in the chicken. No growth promoters have been used on the birds and these are processed in modern hygienic conditions.",500 g,g,500 g,12,1,324,197,"Fresho Foods, Survey No. 66/1, Plot No. 101, Piparia Industrial Estate, Piparia, Silvassa, Dadra, Valsad-396230, Gujarat, India",India,40227603,1.00E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"EAN Code': '40227603, FSSAI No': ', Country of origin': 'India",Bigbasket,-,-,Chicken.
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Chicken - Curry Cut Without Skin, Antibiotic Residue-Free, 24 To 30 pcs, 1 kg","Chicken is a lean meat with various health benefits. Packed with nutritional values, chicken is supremely advantageous for your body. Filled with vitamins, minerals and protein, chicken promotes brain development, strengthens your bones, aids in weight loss, builds muscle and helps in a healthy heart. 

Chicken curry is one of the favourite non-veg dishes in most Indian households. Fresho Chicken curry cut is carved into perfect pieces to give you the ideal portion for your curries. These scrumptious skinless chicken pieces come in 24-28 in numbers which are perfect for 4-6 people. 

The Add-on Benefits of Fresho Chicken: 

• Free from antibiotic residue 

• No growth hormone 

Fresho Meats is our in-house brand of fresh meat, poultry, and seafood. We take the utmost care in selecting the best suppliers to provide you with high quality succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene.",1 kg,kg,1 kg,30,1,415,278.05,"Fresho Foods, Survey No. 66/1, Plot No. 101, Piparia Industrial Estate, Piparia, Silvassa, Dadra, Valsad-396230, Gujarat, India",India,9.79E+12,1.00E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Chicken curry is one of the favourite non-veg dishes in most Indian households.,"EAN Code': '9788175962774, Country of Origin': 'India, Sourced by': 'Ahmedabad -, Packed By': ""-Liza Foods. Add.Chuna'S Bhaththa Nr. Parixitlal Nagar Danilimda Ahmedabad-380028.Fssai License No:-20718034000476.""}, Marketed By -Super Market Grocery Supplies Private Limited, At -Rev. Surv. No.476/1, New Ahmedabad Estate, Opp': 'Intas Pharma, Moraiya Village, Changodhar, Gujarat State 382213. Fssai License No:-10715001000120., Marketed By -Super Market Grocery Supplies Private Limited, At -Rev.Surv. No.476/1, New Ahmedabad Estate, Opp': 'Intas Pharma, Moraiya Village, Changodhar, Gujarat State 382213. Fssai License No:-10715001000120. Email:-Customerservice@.Com Phone No:-18601231000, Indore - Packed By': '- Al-Ghori Khanne Khaas. :-Shop No, G-7, Paradise Tower, 1060 Khatiwala Tank, Indore, Madhya Pradesh-452014.Fssai License No:-21418850004121, Marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071, FSSAI Number': '10019043002767","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Chicken - Drumstick, With Skin, 1 kg","Chicken is used to make soups, vindaloos, kebabs, biryani and curries. It is used in salads, sandwiches, burgers and the likes. Chicken is packed with food grade plastic which provides nourish and natural environment. It also contains niacin, phosphorous and selenium. It is low in cholesterol and fat and is carb-free",1 kg,kg,1 kg,1,1,701,440,"Fresho Foods, Survey No. 66/1, Plot No. 101, Piparia Industrial Estate, Piparia, Silvassa, Dadra, Valsad-396230, Gujarat, India",India,40085983,1.00E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Chicken is used to make soups, kebabs, vindaloos, biryani and curries. It is used in salads, burgers, sandwiches and the like","EAN Code': '40085983, Country Of Origin': 'India, Marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071, FSSAI Number': '10019043002767","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Chicken - Gizzard, Antibiotic Residue-Free, 20-25 pcs, 500 g","Net Weight Number of Pcs Serving Size Storage Temp
500 g 20 to 25 pcs 4-6 people 0-4 deg cel
Chicken is a lean meat with various health benefits. Packed with nutritional values, chicken is supremely advantageous for your body. Filled with vitamins, minerals and protein, chicken promotes brain development, strengthens your bones, aids in weight loss, builds muscle and helps in a healthy heart. 
Chicken Gizzards are considered a delicacy in many cultures. Not only for its taste but also its high nutritional content. Gizzards consist of a healthy dose of minerals and vitamins. This comes in 20-25 pieces, which is perfect for 4-6 people. 
The Add-on Benefits of Fresho Chicken:
Free from antibiotic residue 
No growth hormone 
Fresho Meats is our in-house brand of fresh meat, poultry, and seafood. We take the utmost care in selecting the best suppliers to provide you with high quality succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene.",500 g,g,500 g,25,1,174,95,"Fresho Foods, Survey No. 66/1, Plot No. 101, Piparia Industrial Estate, Piparia, Silvassa, Dadra, Valsad-396230, Gujarat, India",India,10000920,1.00E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Chicken Gizzards are considered a delicacy in many cultures.,"EAN Code': '10000920, Country of Origin': 'India, Sourced & marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071, FSSAI Number': '10019043002767","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Chicken - Lollipop, Antibiotic Residue-Free, 7 To 10 pcs, 250 g","Net Weight Number of Pcs Serving Size Storage Temp
250 g 7 to 10 pcs 2-3 people 0-4 deg cel
Chicken is a lean meat with various health benefits. Packed with nutritional values, chicken is supremely advantageous for your body. Filled with vitamins, minerals and protein, chicken promotes brain development, strengthens your bones, aids in weight loss, builds muscle and helps in a healthy heart.
The perfect starter for any of the meal courses! These juicy, tender lollipops cannot go wrong. Made from chicken wings, these delicious appetizers are great for your small hungry pangs. It comes in 7-10 pieces which are perfect for 2-3 people. 
The Add-on Benefits of Fresho Chicken: 
 Free from antibiotic residue 
 No growth hormone 
Fresho Meats is our in-house brand of fresh meat, poultry, and seafood. We take the utmost care in selecting the best suppliers to provide you with high quality succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene.",250 g,g,250 g,10,1,246,246,"Fresho Foods, Survey No. 66/1, Plot No. 101, Piparia Industrial Estate, Piparia, Silvassa, Dadra, Valsad-396230, Gujarat, India",India,10000929,1.00E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,The perfect starter for any of the meal courses!,"EAN Code': '10000929, Country of Origin': 'India, Sourced & marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071, FSSAI Number': '10019043002767, ","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-
RET,RET-10,RET-10-15,RET-10-15-11,RET-10-15-11-10,Fresho,"Fresho Chicken - Mixed Boneless, Without Skin, 1 kg","Chicken is healthier without the fatty skin. Fresho skinless chicken pieces provides immense value for restaurants, catering, outdoor grilling and family meals, as it has no extra hormones or steroids and it is effortless to cook.",1 kg,kg,1 kg,1,1,922,922,"Fresho Foods, Survey No. 66/1, Plot No. 101, Piparia Industrial Estate, Piparia, Silvassa, Dadra, Valsad-396230, Gujarat, India",India,40085972,1.00E+13,,,,,,,,-,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Chicken is used to make soups, kebabs, vindaloos, biryani and curries. It is used in salads, burgers, sandwiches and the like","EAN Code': '40085972, Country Of Origin': 'India, Marketed by': 'Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071, FSSAI Number': '10019043002767","Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071",-,-,-
